 symbols , moving avg days ,entry hurdle,exit hurdle, total net profit , total borrow cost , average daily short investment , average daily net investment , average daily gross investment ,annualized return on avg gross investment, annualized Sharpe , maximum drawdown , position changes , total shares traded 
 SPMB_VMBS_MBB , 20.00 ,0.00%,0.00%, 861.85 , (817.19)," (95,062.34)", (107.98)," 190,016.70 ",0.52%, 0.97 , (620.02), 142.00 ," 941,067.00 "
 SPMB_VMBS_MBB , 20.00 ,0.05%,0.00%, 618.20 , (800.51)," (93,241.53)", (102.82)," 186,380.25 ",0.38%, 0.63 , (761.65), 113.00 ," 724,583.00 "
 SPMB_VMBS_MBB , 20.00 ,0.05%,0.05%, 933.63 , (692.18)," (80,059.98)", (102.60)," 160,017.36 ",0.67%, 1.08 , (620.02), 139.00 ," 809,699.00 "
 SPMB_VMBS_MBB , 20.00 ,0.10%,0.00%, 633.72 , (717.08)," (83,685.65)", (82.73)," 167,288.58 ",0.43%, 0.64 , (579.91), 70.00 ," 443,767.00 "
 SPMB_VMBS_MBB , 20.00 ,0.10%,0.05%, 861.15 , (530.98)," (63,686.26)", (83.79)," 127,288.73 ",0.77%, 0.99 , (579.91), 87.00 ," 505,963.00 "
 SPMB_VMBS_MBB , 20.00 ,0.10%,0.10%," 1,328.95 ", (430.95)," (50,045.80)", (79.62)," 100,011.98 ",1.52%, 1.84 , (485.90), 111.00 ," 639,435.00 "
 SPMB_VMBS_MBB , 20.00 ,0.15%,0.00%, (182.38), (558.63)," (64,580.94)", (59.93)," 129,101.95 ",-0.16%, (0.19), (962.03), 33.00 ," 211,925.00 "
 SPMB_VMBS_MBB , 20.00 ,0.15%,0.05%, (205.22), (391.94)," (45,940.99)", (60.25)," 91,821.72 ",-0.26%, (0.25), (875.63), 36.00 ," 213,433.00 "
 SPMB_VMBS_MBB , 20.00 ,0.15%,0.10%, 603.25 , (289.16)," (33,212.96)", (57.72)," 66,368.19 ",1.04%, 0.93 , (589.76), 51.00 ," 311,337.00 "
 SPMB_VMBS_MBB , 20.00 ,0.15%,0.15%, 596.98 , (211.33)," (23,206.08)", (46.96)," 46,365.20 ",1.47%, 1.17 , (408.23), 67.00 ," 392,427.00 "
 SPMB_VMBS_MBB , 20.00 ,0.20%,0.00%, (437.25), (250.13)," (29,107.01)", (39.50)," 58,174.53 ",-0.86%, (0.68), (669.11), 13.00 ," 81,614.00 "
 SPMB_VMBS_MBB , 20.00 ,0.20%,0.05%, (437.25), (250.13)," (29,107.01)", (39.50)," 58,174.53 ",-0.86%, (0.68), (669.11), 13.00 ," 81,614.00 "
 SPMB_VMBS_MBB , 20.00 ,0.20%,0.10%, (46.69), (155.67)," (17,285.84)", (32.07)," 34,539.61 ",-0.15%, (0.09), (429.84), 15.00 ," 94,680.00 "
 SPMB_VMBS_MBB , 20.00 ,0.20%,0.15%, 399.53 , (94.53)," (10,008.96)", (23.58)," 19,994.35 ",2.29%, 1.07 , (179.44), 19.00 ," 120,680.00 "
