symbols,moving avg days,entry hurdle,exit hurdle, total net profit , total borrow cost , average daily short investment , average daily net investment , average daily gross investment ,annualized return on avg gross investment, annualized Sharpe , maximum drawdown , position changes , total shares traded ,
SPMB_VMBS_MBB,20,0.00%,0.00%, $945.29 , $(814.44)," $(95,016.07)", $(104.22)," $189,927.93 ",0.58%, 1.02 , $(578.34), $119.00 ," $786,987.00 ",
SPMB_VMBS_MBB,20,0.05%,0.00%," $1,503.53 ", $(806.09)," $(93,638.20)", $(101.60)," $187,174.79 ",0.93%, 1.54 , $(535.28), $99.00 ," $654,657.00 ",
SPMB_VMBS_MBB,20,0.05%,0.05%," $1,662.57 ", $(694.96)," $(80,792.75)", $(99.89)," $161,485.61 ",1.19%, 1.90 , $(368.88), $129.00 ," $780,825.00 ",
SPMB_VMBS_MBB,20,0.10%,0.00%," $1,577.25 ", $(733.77)," $(85,830.78)", $(85.36)," $171,576.19 ",1.06%, 1.51 , $(356.51), $60.00 ," $392,943.00 ",
SPMB_VMBS_MBB,20,0.10%,0.05%," $1,952.55 ", $(569.85)," $(68,855.43)", $(81.70)," $137,629.17 ",1.64%, 2.07 , $(247.76), $80.00 ," $472,515.00 ",
SPMB_VMBS_MBB,20,0.10%,0.10%," $1,617.82 ", $(375.36)," $(47,749.52)", $(73.41)," $95,425.64 ",1.96%, 2.03 , $(260.17), $102.00 ," $575,873.00 ",
SPMB_VMBS_MBB,20,0.15%,0.00%," $1,039.46 ", $(600.35)," $(69,303.77)", $(59.72)," $138,547.82 ",0.87%, 1.00 , $(426.49), $33.00 ," $193,226.00 ",
SPMB_VMBS_MBB,20,0.15%,0.05%," $1,379.04 ", $(433.64)," $(50,951.24)", $(55.47)," $101,847.02 ",1.57%, 1.46 , $(398.33), $42.00 ," $249,056.00 ",
SPMB_VMBS_MBB,20,0.15%,0.10%," $1,664.96 ", $(258.60)," $(31,222.92)", $(49.76)," $62,396.07 ",3.08%, 2.13 , $(196.44), $55.00 ," $328,266.00 ",
SPMB_VMBS_MBB,20,0.15%,0.15%, $923.35 , $(155.74)," $(19,287.76)", $(37.94)," $38,537.58 ",2.77%, 1.40 , $(296.13), $62.00 ," $372,556.00 ",
SPMB_VMBS_MBB,20,0.20%,0.00%," $1,447.74 ", $(336.28)," $(39,007.10)", $(35.64)," $77,978.55 ",2.15%, 1.62 , $(460.52), $18.00 ," $114,924.00 ",
