symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
SPMB_VMBS_MBB,20,0.0,0.0,1379.5268255555043,-500.3581744444444,-94840.53134328358,-87.1973880597018,189593.86529850744,0.01368363910965415,2.952991668574369,-230.92615555555778,83,590675.0
SPMB_VMBS_MBB,20,0.0002,0.0,1575.277364444405,-500.3576355555555,-94840.49514925371,-87.16940298507504,189593.8208955224,0.01562530833157349,3.445878896008792,-230.92615555555744,83,590675.0
SPMB_VMBS_MBB,20,0.0002,0.0002,1576.1403236110473,-486.4646763888889,-93347.46656716417,-86.92485074626904,186608.00828358208,0.015884017063094228,3.505835504965179,-193.71189999999092,85,594943.0
SPMB_VMBS_MBB,20,0.0004,0.0,1540.323347500016,-500.3516525,-94838.88776119404,-83.82440298507497,189593.95111940295,0.015278586010922262,3.007980407037755,-208.81300333333184,73,495763.0
SPMB_VMBS_MBB,20,0.0004,0.0002,1541.1863066666583,-486.4586933333334,-93345.85917910447,-83.57985074626896,186608.13850746266,0.01553174685168016,3.049855393755893,-208.81300333333206,75,500031.0
SPMB_VMBS_MBB,20,0.0004,0.0004,1460.8438149999643,-450.341185,-85136.09544776118,-84.23104477611967,170187.95985074624,0.016142496332704474,3.230406966928163,-233.78156805552112,86,546561.0
SPMB_VMBS_MBB,20,0.0006,0.0,1205.2432625000076,-497.56173750000005,-94089.56701492537,-79.02537313432919,188100.1086567164,0.012049843553535347,2.0972259726777227,-392.66739611110313,53,355405.0
SPMB_VMBS_MBB,20,0.0006,0.0002,1206.1062216666496,-483.6687783333333,-92596.5384328358,-78.78082089552318,185114.29604477607,0.01225296915804159,2.120880165906237,-392.66739611110313,55,359673.0
SPMB_VMBS_MBB,20,0.0006,0.0004,1258.3271638888295,-444.77283611111113,-83640.17261194029,-79.10149253731402,167201.2437313433,0.014153042497764867,2.427457936362653,-346.57317249999926,66,405888.0
SPMB_VMBS_MBB,20,0.0006,0.0006,1463.6201730555083,-386.4198269444445,-70950.30940298508,-78.33007462686597,141822.28873134326,0.01940794887076476,3.376516122198641,-193.71189999999092,81,471242.0
SPMB_VMBS_MBB,20,0.0008,0.0,1183.374631944464,-491.99036805555556,-92593.89791044776,-73.25179104477702,185114.54402985075,0.012022020268781825,2.0859818399337726,-362.5673961111165,44,285571.0
SPMB_VMBS_MBB,20,0.0008,0.0002,1184.2375911111062,-478.0974088888889,-91100.86932835821,-73.00723880597103,182128.73141791043,0.012228019497350718,2.110123495035074,-362.5673961111165,46,289839.0
SPMB_VMBS_MBB,20,0.0008,0.0004,1280.5695311110812,-425.31046888888886,-79904.91365671641,-73.0231343283588,159736.80417910445,0.015076270305944377,2.4865037694059002,-317.8331725000096,56,333518.0
SPMB_VMBS_MBB,20,0.0008,0.0006,1371.2673013888502,-361.4026986111111,-65722.72656716418,-72.38388059701559,131373.06925373134,0.019629602994781208,3.0931360568634947,-205.379988333327,69,389708.0
SPMB_VMBS_MBB,20,0.0008,0.0008,1006.8721988888396,-322.49780111111113,-57510.03156716418,-68.47850746268729,114951.58462686568,0.016472333615826968,2.543961654572742,-281.34052027776465,76,411774.0
SPMB_VMBS_MBB,20,0.001,0.0,236.37480166669258,-430.8451983333333,-82140.4263432836,-60.76067164179175,164220.09201492535,0.0027068901311878323,0.42390224332350557,-662.0748924999939,24,155792.0
SPMB_VMBS_MBB,20,0.001,0.0002,192.4389016666808,-419.7310983333333,-81393.9569402985,-60.75246268656783,162727.16141791048,0.002223968149364185,0.3458887505419032,-662.0748924999939,25,155792.0
SPMB_VMBS_MBB,20,0.001,0.0004,519.606261388868,-353.05373861111116,-66466.24671641791,-60.14768656716489,132872.34574626863,0.007354201347287342,1.061007678739004,-381.18456638890524,35,204830.0
SPMB_VMBS_MBB,20,0.001,0.0006,742.6537852777687,-283.58621472222217,-50790.394477611946,-59.46231343283645,101521.32664179103,0.013757035471416703,1.8557564095050811,-183.86156361109477,47,256660.0
SPMB_VMBS_MBB,20,0.001,0.0008,473.894483333321,-261.3555166666667,-44817.96813432836,-56.5497014925381,89579.38656716418,0.009948768180925693,1.3557985239345995,-298.6115536110994,50,269846.0
SPMB_VMBS_MBB,20,0.001,0.001,171.0884297222355,-211.33157027777781,-35111.98462686568,-48.962537313433565,70175.0067164179,0.004584942777762933,0.5448603972074174,-348.90297777777016,57,318188.0
SPMB_VMBS_MBB,20,0.0012,0.0,416.0195591666637,-389.1404408333333,-73923.99791044778,-50.000820895523475,147797.995,0.005293476011764554,0.8065943509193902,-540.6327074999847,21,138654.0
SPMB_VMBS_MBB,20,0.0012,0.0002,372.08365916665196,-378.02634083333334,-73177.52850746269,-49.992611940299554,146305.0644029851,0.004782742289794848,0.72322762034059,-540.6327074999845,22,138654.0
SPMB_VMBS_MBB,20,0.0012,0.0004,496.47911249994854,-308.5708875,-58997.380149253724,-49.997611940298995,117944.76268656718,0.007916223795552551,1.0908219021778218,-362.4219988889077,25,154978.0
SPMB_VMBS_MBB,20,0.0012,0.0006,587.1357894444525,-230.77421055555556,-41083.845,-50.43485074626912,82117.25514925375,0.01344620945960983,1.6896158062539204,-197.74543555554564,36,197812.0
SPMB_VMBS_MBB,20,0.0012,0.0008,434.2180386111002,-211.3219613888889,-35857.867611940295,-48.09261194029908,71667.64261194029,0.011394112007567785,1.4928323909908543,-281.631553611097,38,211016.0
SPMB_VMBS_MBB,20,0.0012,0.001,198.53317833333332,-152.95682166666668,-25404.361119402987,-38.43186567164219,50770.29037313433,0.007353924899647246,0.774448754196664,-311.39945972222915,38,210868.0
SPMB_VMBS_MBB,20,0.0012,0.0012,118.39222111110874,-119.5977788888889,-20176.015074626866,-32.415820895522614,40319.61432835821,0.005522078058552747,0.5328531619158057,-249.19823499999598,42,225738.0
SPMB_VMBS_MBB,20,0.0014,0.0,188.3691780555734,-289.1008219444444,-56755.71388059701,-43.785149253732044,113467.64261194029,0.0031220047037266974,0.41136316840029835,-444.7607869444145,17,110102.0
SPMB_VMBS_MBB,20,0.0014,0.0002,188.3691780555734,-289.1008219444444,-56755.71388059701,-43.785149253732044,113467.64261194029,0.0031220047037266974,0.41136316840029835,-444.7607869444145,17,110102.0
SPMB_VMBS_MBB,20,0.0014,0.0004,202.74144111110243,-233.53855888888887,-44814.77410447761,-44.02858208955258,89585.51962686566,0.0042559885854685335,0.5110022429190004,-376.5732686111053,18,113234.0
SPMB_VMBS_MBB,20,0.0014,0.0006,365.00597805558704,-161.26402194444444,-29880.081044776118,-39.288955223880826,59720.87313432836,0.011493957082932943,1.2515532254453359,-242.04768611109432,25,145384.0
SPMB_VMBS_MBB,20,0.0014,0.0008,323.549441111138,-150.1505588888889,-26894.374552238805,-37.72634328358254,53751.02276119402,0.01132008437937419,1.269510615127444,-237.32390361109285,27,158608.0
SPMB_VMBS_MBB,20,0.0014,0.001,186.24844722225862,-100.1215527777778,-18680.42634328358,-29.938507462686964,37330.914179104475,0.009382526026558393,0.8382797350030693,-237.87667361109425,27,158510.0
SPMB_VMBS_MBB,20,0.0014,0.0012,117.52561000003394,-72.32439,-14946.316716417912,-25.58902985074654,29867.044402985073,0.007400073082599953,0.5942777906035577,-176.31919805554145,30,169142.0
SPMB_VMBS_MBB,20,0.0014,0.0014,95.20592777781602,-69.54407222222221,-14199.365671641794,-24.500000000000217,28374.23134328358,0.006310091061710564,0.48339802067938675,-176.31919805554142,30,169132.0
