symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
SPTL_SCHQ_VGLT,20,0.0,0.0,-566.6921683333271,-814.0971683333333,-94979.52082568807,-47.704954128440804,189911.3366972477,-0.0034493746499965803,-0.7249026420858958,-1122.6252563888656,156,1364749.0
SPTL_SCHQ_VGLT,20,0.0002,0.0,-56.46749888892066,-811.312498888889,-94519.91422018349,-45.9087155963305,188993.91972477065,-0.00034537807675959307,-0.0686052047697129,-798.5694316666353,135,1110365.0
SPTL_SCHQ_VGLT,20,0.0002,0.0002,-760.7951413888852,-725.2001413888888,-84886.90417431193,-46.22211009174331,169727.5862385321,-0.005181545816139923,-1.8717798586953422,-833.6414427777343,158,1232933.0
SPTL_SCHQ_VGLT,20,0.0004,0.0,407.11068055554966,-786.2843194444445,-90388.3166055046,-39.28770642201869,180737.3455045871,0.0026038061230061788,0.463883179296311,-486.31850305558214,97,750229.0
SPTL_SCHQ_VGLT,20,0.0004,0.0002,-358.5826319444226,-677.9476319444444,-78002.8454587156,-39.53298165137629,155966.1579357798,-0.0026576814420392505,-0.6964995329323969,-565.02542749996,116,847805.0
SPTL_SCHQ_VGLT,20,0.0004,0.0004,-741.4018233332897,-500.16682333333335,-57359.862293577986,-37.369449541284574,114682.3551376147,-0.007473105163723862,-1.9588024354057636,-961.2401916666149,148,984875.0
SPTL_SCHQ_VGLT,20,0.0006,0.0,502.66526750002333,-750.1497325,-86714.95426605505,-30.09683486238519,173399.81169724773,0.0033509990415255737,0.5582509826978539,-698.4083116665901,53,377323.0
SPTL_SCHQ_VGLT,20,0.0006,0.0002,-104.56629611111248,-594.581296111111,-67447.92660550459,-29.517844036697046,134866.33536697246,-0.0008962562872363554,-0.20253781478795851,-472.7444733332977,66,439797.0
SPTL_SCHQ_VGLT,20,0.0006,0.0004,-154.54350277776405,-361.23350277777774,-40840.70357798164,-27.208302752293395,81654.19885321101,-0.0021878436185632506,-0.38881231167916686,-423.2445350000019,84,529860.0
SPTL_SCHQ_VGLT,20,0.0006,0.0006,-331.0049591665995,-272.32495916666664,-29829.424266055048,-24.470825688073326,59634.37770642202,-0.006416258549880116,-1.0607307588870454,-544.686673611072,88,546400.0
SPTL_SCHQ_VGLT,20,0.0008,0.0,405.2429883333062,-516.7320116666667,-61018.33018348623,-19.260504587155467,122017.39986238531,0.003839173951742165,0.4675919489263316,-493.08993694443825,23,161661.0
SPTL_SCHQ_VGLT,20,0.0008,0.0002,-86.65838833333561,-350.0533883333334,-41750.61550458716,-19.16623853211005,83482.0647706422,-0.0011999453662796947,-0.20261446873268205,-340.05161249999276,24,166431.0
SPTL_SCHQ_VGLT,20,0.0008,0.0004,-59.320160833337326,-166.72016083333335,-21567.026697247707,-15.664036697247615,43118.38935779816,-0.0015903174969660668,-0.18107692708801879,-291.61081499999386,32,201060.0
SPTL_SCHQ_VGLT,20,0.0008,0.0006,-130.8355488888706,-127.8255488888889,-16061.82252293578,-13.659403669724703,32109.985642201835,-0.0047100953235000315,-0.5105850895840436,-271.7075111111013,34,214208.0
SPTL_SCHQ_VGLT,20,0.0008,0.0008,-165.28805999997115,-88.92806,-10555.639770642201,-11.013623853211014,21100.265917431192,-0.009055190701897416,-0.8298361782400646,-252.63529472219835,37,233890.0
SPTL_SCHQ_VGLT,20,0.001,0.0,-777.6575761110859,-380.60257611111115,-44960.458348623855,-15.193899082568759,89905.72279816514,-0.009998736366424723,-0.9290279843807064,-1046.2343574999595,16,107921.0
SPTL_SCHQ_VGLT,20,0.001,0.0002,-19.57032333334145,-305.59532333333334,-36244.16688073394,-14.829357798165152,72473.50440366972,-0.0003121496025683306,-0.052171685562642525,-271.9963083333271,17,113555.0
SPTL_SCHQ_VGLT,20,0.001,0.0004,69.96476138888454,-113.9252386111111,-15601.58743119266,-11.079082568807296,31192.095779816507,0.0025928586915825026,0.24955017135974852,-186.8925241666597,21,127478.0
SPTL_SCHQ_VGLT,20,0.001,0.0006,3.9650744444668398,-83.36492555555554,-11472.689495412844,-9.919633027522917,22935.459357798165,0.00019984254420115632,0.01866349119080124,-138.3884658333248,21,126994.0
SPTL_SCHQ_VGLT,20,0.001,0.0008,-27.209176666635756,-52.79917666666667,-6425.134633027522,-7.454587155963396,12842.814678899082,-0.0024490589104592705,-0.17728794161451708,-114.55641138886298,22,133086.0
SPTL_SCHQ_VGLT,20,0.001,0.001,-53.41132444441954,-33.351324444444444,-5507.558165137614,-6.751972477064255,11008.364357798164,-0.005608601696164675,-0.35909572073099777,-140.75855916664676,22,132848.0
SPTL_SCHQ_VGLT,20,0.0012,0.0,-187.00841666666258,-205.55841666666666,-23853.644174311925,-9.300779816513527,47697.98756880734,-0.00453215906982714,-0.6738523262612408,-297.95399333334495,7,42568.0
SPTL_SCHQ_VGLT,20,0.0012,0.0002,-188.71281916666595,-188.89281916666664,-22018.837064220184,-9.23977064220172,44028.43435779816,-0.0049546411744472675,-0.6929376801330884,-260.3361483333482,7,42394.0
SPTL_SCHQ_VGLT,20,0.0012,0.0004,19.88533972221618,-55.564660277777776,-7340.588302752293,-6.1756422018347,14675.000963302753,0.001566386471736967,0.0961653736660607,-168.35901777777798,9,51532.0
SPTL_SCHQ_VGLT,20,0.0012,0.0006,6.184776111128812,-38.895223888888886,-5505.596605504587,-5.530045871559446,11005.663165137616,0.0006496086708205695,0.038024623198072025,-118.08160472221229,9,51344.0
SPTL_SCHQ_VGLT,20,0.0012,0.0008,28.23429000001435,-25.00571,-3211.9154128440364,-4.064036697247669,6419.766788990825,0.005083954634497438,0.24106355038225594,-73.3336966666599,10,57738.0
SPTL_SCHQ_VGLT,20,0.0012,0.001,36.537956666672784,-16.672043333333335,-2753.181467889908,-3.713944954128371,5502.648990825688,0.00767567350464227,0.33470405777940465,-65.03003000000147,10,57616.0
SPTL_SCHQ_VGLT,20,0.0012,0.0012,36.537956666672784,-16.672043333333335,-2753.181467889908,-3.713944954128371,5502.648990825688,0.00767567350464227,0.33470405777940465,-65.03003000000147,10,57616.0
SPTL_SCHQ_VGLT,20,0.0014,0.0,-16.161023611108988,-111.11102361111111,-13302.80876146789,-3.114678899082569,26602.502844036695,-0.000702247842576326,-0.08188209726541697,-176.7743461111349,4,24130.0
SPTL_SCHQ_VGLT,20,0.0014,0.0002,-40.6750177777731,-105.55501777777778,-12385.303211009177,-3.097064220183569,24767.50935779816,-0.001898407595638952,-0.2113153336404072,-161.96609277779885,4,24012.0
SPTL_SCHQ_VGLT,20,0.0014,0.0004,52.03944666665071,-19.450553333333332,-2294.2587155963306,-1.7009174311926072,4586.816513761468,0.013114911063414673,0.34965173831762913,-113.70835000000287,4,23632.0
SPTL_SCHQ_VGLT,20,0.0014,0.0006,45.631340000001835,-5.55866,-917.9438532110092,-1.332981651376064,1834.5547247706425,0.028752565286385545,0.5734616656079106,-34.115,4,23444.0
SPTL_SCHQ_VGLT,20,0.0014,0.0008,45.631340000001835,-5.55866,-917.9438532110092,-1.332981651376064,1834.5547247706425,0.028752565286385545,0.5734616656079106,-34.115,4,23444.0
