symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
TFI_VTEB_MUB,20,0.0,0.0,465.341016666781,-814.4489833333333,-95020.29889908255,-145.69646788990786,189894.9013302752,0.0028327097503090324,0.4093997290533141,-598.353246944401,96,406390.0
TFI_VTEB_MUB,20,0.0005,0.0,1104.712577500039,-800.5474225,-92724.92463302752,-142.49311926605444,185307.35614678895,0.006891292532755033,0.9687223463237177,-563.3437569444178,85,361696.0
TFI_VTEB_MUB,20,0.0005,0.0005,872.1134805555891,-725.5465194444445,-84468.07155963301,-141.89990825688017,168794.24321100916,0.005972544798803211,0.7915189347786923,-495.8708922221739,104,403804.0
TFI_VTEB_MUB,20,0.001,0.0,1537.649841944498,-769.9701580555555,-88593.72995412846,-133.16137614678843,177054.2985321101,0.01003910554280244,1.3553862132371912,-480.24206055553407,66,274610.0
TFI_VTEB_MUB,20,0.001,0.0005,1292.0732961111698,-644.9567038888888,-73913.61119266057,-131.0948623853206,147696.12752293577,0.01011258277261718,1.1777361808745603,-466.0026019444372,79,296682.0
TFI_VTEB_MUB,20,0.001,0.001,1522.3283411111963,-536.5716588888889,-61980.57389908256,-124.3961926605501,123836.7516055046,0.014210286318476853,1.4594568606738885,-466.00260194443723,92,336146.0
TFI_VTEB_MUB,20,0.0015,0.0,1388.5394055555805,-714.3505944444444,-82163.75082568807,-112.07238532110017,164215.42926605503,0.009774359233000072,1.211965055346795,-445.84127972220745,49,203136.0
TFI_VTEB_MUB,20,0.0015,0.0005,1148.6517802778208,-533.7482197222222,-60598.44206422018,-110.26298165137555,121086.621146789,0.010965697886908644,1.0801095392391589,-445.84127972220745,56,211664.0
TFI_VTEB_MUB,20,0.0015,0.001,1221.0444375000693,-430.9355625,-49585.61559633027,-105.65766055045836,99065.5735321101,0.014247962339029847,1.1974613853347222,-436.72126333333847,61,224084.0
TFI_VTEB_MUB,20,0.0015,0.0015,1308.8827916667542,-372.5872083333333,-42702.88481651376,-100.0895871559629,85305.68004587156,0.017736456399587278,1.4281180982389148,-436.72126333333847,69,245122.0
TFI_VTEB_MUB,20,0.002,0.0,1707.9933908333135,-467.00660916666675,-54168.48146788991,-87.90738532110024,108249.05555045871,0.01823921392299297,1.6415575798881965,-444.4626386111079,35,139248.0
TFI_VTEB_MUB,20,0.002,0.0005,1299.0051383333223,-394.76486166666666,-45450.053899082566,-85.57247706421967,90814.53532110092,0.016534823029051907,1.3034290270649644,-444.4626386111079,40,143352.0
TFI_VTEB_MUB,20,0.002,0.001,1429.1502480555578,-328.1097519444445,-37195.27376146789,-85.19688073394448,74305.35064220183,0.022233193526352606,1.4824460103769863,-436.72126333333847,42,149540.0
TFI_VTEB_MUB,20,0.002,0.0015,1733.0651933333338,-280.8648066666667,-32146.13344036697,-81.05779816513704,64211.20908256881,0.03119953343651471,2.0442579171026427,-436.72126333333847,50,176462.0
TFI_VTEB_MUB,20,0.002,0.002,1047.1022788888786,-219.70772111111114,-24801.251697247706,-68.73371559632986,49533.76967889909,0.02443609312334379,1.3107456681889906,-436.72126333333847,58,199126.0
TFI_VTEB_MUB,20,0.0025,0.0,895.7550313889124,-439.20496861111116,-50494.26963302752,-74.96463302752244,100913.57463302751,0.010260858841902733,0.8483016830741765,-788.4367594444544,24,88552.0
TFI_VTEB_MUB,20,0.0025,0.0005,978.9793330555713,-341.94066694444444,-39481.13798165138,-72.76114678899013,78889.51481651377,0.014344925124679142,0.9943028527417236,-529.3275800000138,28,96830.0
TFI_VTEB_MUB,20,0.0025,0.001,953.5147925000283,-294.7252075,-33519.41752293578,-73.71908256880664,66965.11596330276,0.016459735683359792,0.9807542368191328,-529.3275800000138,28,96794.0
TFI_VTEB_MUB,20,0.0025,0.0015,1513.7360908333485,-219.70390916666668,-24801.181100917434,-64.1922477064215,49538.16995412845,0.03532272937565865,1.848913807881269,-436.72126333333847,32,111328.0
TFI_VTEB_MUB,20,0.0025,0.002,1488.886148611121,-175.21385138888888,-18373.290366972476,-53.786834862384914,36692.79389908257,0.046905606438807756,2.029171469161646,-436.72126333333847,38,130454.0
TFI_VTEB_MUB,20,0.0025,0.0025,1249.180791666683,-133.51920833333332,-13781.242431192659,-44.481880733944635,27518.002981651378,0.052474998081531846,1.779235073929771,-436.72126333333847,42,143300.0
TFI_VTEB_MUB,20,0.003,0.0,58.92732138887467,-252.90267861111113,-28454.591146788993,-45.30449541284399,56863.87779816514,0.001197910232165479,0.06188138504872676,-788.4367594444543,14,46494.0
TFI_VTEB_MUB,20,0.003,0.0005,692.9163772222104,-183.48362277777778,-21118.150779816515,-49.18940366972448,42187.1121559633,0.01898650708737166,0.9733638105851173,-426.6331266666698,15,50684.0
TFI_VTEB_MUB,20,0.003,0.001,657.9286844444346,-175.15131555555556,-19742.173440366976,-48.48027522935738,39435.86660550458,0.019285525601704448,0.9251193312569265,-426.6331266666698,15,50668.0
TFI_VTEB_MUB,20,0.003,0.0015,1056.8008988888703,-136.26910111111113,-15155.418944954128,-42.52224770642171,30268.31564220183,0.04035979642448006,1.6952404279978985,-260.64611027777516,16,55028.0
TFI_VTEB_MUB,20,0.003,0.002,1322.166404722193,-100.10359527777777,-10103.452385321101,-32.55940366972456,20174.345366972477,0.07575838601895374,2.431510897785547,-108.26936194443488,18,61410.0
TFI_VTEB_MUB,20,0.003,0.0025,1185.847624999978,-69.54237499999999,-7349.95133027523,-26.888119266054847,14673.014541284403,0.09342295227057992,2.3376645887111853,-21.195,22,74274.0
TFI_VTEB_MUB,20,0.003,0.003,1023.8972613888824,-52.83273861111111,-5971.142431192661,-23.169678899082392,11919.115183486238,0.09930163789288357,2.040592033052024,-36.066057777783044,22,74274.0
TFI_VTEB_MUB,20,0.0035,0.0,532.4338230555511,-66.67617694444445,-6881.836834862385,-20.241100917431048,13743.432568807339,0.04478313241724126,1.0598220202027406,-260.64611027777516,6,21104.0
TFI_VTEB_MUB,20,0.0035,0.0005,532.4338230555511,-66.67617694444445,-6881.836834862385,-20.241100917431048,13743.432568807339,0.04478313241724126,1.0598220202027406,-260.64611027777516,6,21104.0
TFI_VTEB_MUB,20,0.0035,0.001,532.4338230555511,-66.67617694444445,-6881.836834862385,-20.241100917431048,13743.432568807339,0.04478313241724126,1.0598220202027406,-260.64611027777516,6,21104.0
TFI_VTEB_MUB,20,0.0035,0.0015,531.1488633333314,-52.79113666666667,-5505.9881651376145,-18.570733944953986,10993.405596330274,0.05585062689917316,1.064476037678949,-260.64611027777516,6,21104.0
TFI_VTEB_MUB,20,0.0035,0.002,699.3510127777834,-41.67898722222222,-3670.954311926606,-14.568440366972402,7327.340183486239,0.11032981767868894,1.542934121314037,-93.05306916668087,6,21062.0
TFI_VTEB_MUB,20,0.0035,0.0025,645.5439441666778,-22.23605583333333,-1835.9839908256881,-10.000412844036681,3661.96756880734,0.20377709407560152,1.4847117539219539,-21.195,6,21062.0
TFI_VTEB_MUB,20,0.0035,0.003,645.5439441666778,-22.23605583333333,-1835.9839908256881,-10.000412844036681,3661.96756880734,0.20377709407560152,1.4847117539219539,-21.195,6,21062.0
TFI_VTEB_MUB,20,0.0035,0.0035,645.5439441666778,-22.23605583333333,-1835.9839908256881,-10.000412844036681,3661.96756880734,0.20377709407560152,1.4847117539219539,-21.195,6,21062.0
TFI_VTEB_MUB,20,0.004,0.0,684.4538241666631,-66.59617583333335,-6873.129633027524,-11.533899082568805,13734.725366972476,0.057606066523013214,1.2089943938225312,-271.76717555555683,5,19188.0
TFI_VTEB_MUB,20,0.004,0.0005,684.4538241666631,-66.59617583333335,-6873.129633027524,-11.533899082568805,13734.725366972476,0.057606066523013214,1.2089943938225312,-271.76717555555683,5,19188.0
TFI_VTEB_MUB,20,0.004,0.001,684.4538241666631,-66.59617583333335,-6873.129633027524,-11.533899082568805,13734.725366972476,0.057606066523013214,1.2089943938225312,-271.76717555555683,5,19188.0
TFI_VTEB_MUB,20,0.004,0.0015,715.834689166661,-52.73531083333334,-5499.780825688074,-12.36339449541285,10987.198256880733,0.07531297899312468,1.3074901815422961,-271.76717555555683,5,19188.0
TFI_VTEB_MUB,20,0.004,0.002,875.8371013888975,-41.64289861111111,-3668.00633027523,-11.620458715596373,7324.392201834862,0.13822792669962106,1.7636150096551684,-95.46893055556495,5,19132.0
TFI_VTEB_MUB,20,0.004,0.0025,766.3771933333414,-22.23280666666667,-1835.805137614679,-9.82155963302755,3661.7887155963303,0.24193201202089862,1.657920503728521,-21.195,5,19132.0
TFI_VTEB_MUB,20,0.004,0.003,766.3771933333414,-22.23280666666667,-1835.805137614679,-9.82155963302755,3661.7887155963303,0.24193201202089862,1.657920503728521,-21.195,5,19132.0
TFI_VTEB_MUB,20,0.004,0.0035,766.3771933333414,-22.23280666666667,-1835.805137614679,-9.82155963302755,3661.7887155963303,0.24193201202089862,1.657920503728521,-21.195,5,19132.0
TFI_VTEB_MUB,20,0.004,0.004,561.4036833333367,-13.906316666666667,-1377.46623853211,-8.396834862385363,2746.535642201835,0.2362838646590614,1.3096353491614423,-21.195,5,19078.0
TFI_VTEB_MUB,20,0.0045,0.0,430.22742972221465,-66.67257027777778,-6881.2412385321095,-19.64550458715577,13742.836972477064,0.036188097231475876,0.8311439845650782,-260.64611027777516,4,15040.0
TFI_VTEB_MUB,20,0.0045,0.0005,430.22742972221465,-66.67257027777778,-6881.2412385321095,-19.64550458715577,13742.836972477064,0.036188097231475876,0.8311439845650782,-260.64611027777516,4,15040.0
TFI_VTEB_MUB,20,0.0045,0.001,430.22742972221465,-66.67257027777778,-6881.2412385321095,-19.64550458715577,13742.836972477064,0.036188097231475876,0.8311439845650782,-260.64611027777516,4,15040.0
TFI_VTEB_MUB,20,0.0045,0.0015,428.94246999999496,-52.787530000000004,-5505.39256880734,-17.975137614678708,10992.81,0.045106006045034966,0.8339843184660325,-260.64611027777516,4,15040.0
TFI_VTEB_MUB,20,0.0045,0.002,597.1446194444468,-41.675380555555556,-3670.35871559633,-13.972844036697122,7326.744587155962,0.09421336560903792,1.269834444496761,-93.05306916668081,4,14998.0
