symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
TFI_VTEB_MUB,20,0.0,0.0,1971.8519047224167,-817.2680952777778,-95067.59436363637,-156.0236818181816,189979.16504545452,0.011889023339412432,1.8390128487366175,-710.8273572221989,122,506256.0
TFI_VTEB_MUB,20,0.0005,0.0,1678.4204852778532,-803.3695147222222,-93702.4549090909,-153.4901363636361,187251.41968181817,0.010267235235451826,1.5176870239569606,-783.1476072222001,102,406380.0
TFI_VTEB_MUB,20,0.0005,0.0005,2023.035730555691,-714.4742694444445,-82793.2156818182,-152.4099999999998,165434.0213636364,0.014007369548784553,1.9546310138837275,-731.472357222199,121,454856.0
TFI_VTEB_MUB,20,0.001,0.0,1608.5460863889687,-783.8839136111111,-90970.54077272727,-143.82986363636314,181797.25168181816,0.010135007043187535,1.44550595182928,-951.8698480555269,72,289438.0
TFI_VTEB_MUB,20,0.001,0.0005,1619.1867597222988,-658.8732402777778,-76423.8954090909,-142.2205454545451,152705.5702727273,0.012145626584225319,1.5534414244701595,-823.9209980555278,83,311670.0
TFI_VTEB_MUB,20,0.001,0.001,1628.8401786112272,-511.6098213888889,-60965.825181818174,-135.38277272727248,121796.26759090908,0.015318715616770551,1.7902337030804332,-783.259780833316,101,361148.0
TFI_VTEB_MUB,20,0.0015,0.0,388.8973683333652,-731.0126316666667,-84141.30431818184,-125.13699999999928,168157.47163636363,0.0026490898913850776,0.36243669065894424,-784.8034152777459,48,179460.0
TFI_VTEB_MUB,20,0.0015,0.0005,1389.1836144444972,-553.2163855555555,-63683.95563636364,-122.84895454545403,127245.06231818182,0.012505370791185926,1.4965474590333272,-708.7999069444056,58,209730.0
TFI_VTEB_MUB,20,0.0015,0.001,887.5796641667587,-419.85033583333336,-49590.716,-117.89322727272712,99063.53877272728,0.010262929967657592,1.0848049221689975,-614.3027302777252,63,215802.0
TFI_VTEB_MUB,20,0.0015,0.0015,686.9670194445063,-350.36298055555557,-41858.75786363637,-110.3282727272726,83607.18745454546,0.009411744599444603,0.9255628778616114,-561.2238536110565,74,248896.0
TFI_VTEB_MUB,20,0.002,0.0,-164.82282749999706,-694.8528275000001,-80043.23027272728,-115.13354545454494,159971.327,-0.0011801931039463224,-0.1607747783778365,-903.3106361110866,35,119448.0
TFI_VTEB_MUB,20,0.002,0.0005,805.8083116666545,-478.1416883333334,-55038.55854545454,-108.23640909090881,109968.88068181818,0.008393436285254748,0.9165556311383278,-623.3787177777846,39,131542.0
TFI_VTEB_MUB,20,0.002,0.001,557.2549983333664,-358.6750016666667,-42309.304318181814,-106.53545454545443,84512.0731818182,0.0075528885611996196,0.7113054848146504,-734.8700508333391,43,137624.0
TFI_VTEB_MUB,20,0.002,0.0015,568.8403027777897,-308.64969722222224,-35942.3445,-99.63072727272719,71785.05827272727,0.00907682916379423,0.761607355489603,-518.5678755555847,47,154238.0
TFI_VTEB_MUB,20,0.002,0.002,387.6542108333575,-275.2957891666666,-32303.842818181816,-94.34122727272724,64513.34440909091,0.006882921385193171,0.5608486235367409,-634.2876727777967,50,162200.0
TFI_VTEB_MUB,20,0.0025,0.0,-403.08614444440684,-450.21614444444447,-52294.30204545455,-84.47540909090881,104504.12868181817,-0.004418168566041771,-0.4870050746078839,-894.7946502777788,24,82970.0
TFI_VTEB_MUB,20,0.0025,0.0005,-212.45340277776347,-364.0834027777778,-42292.3445,-82.75272727272717,84501.93627272728,-0.002879883309698985,-0.2831381721621903,-894.7946502777788,24,82914.0
TFI_VTEB_MUB,20,0.0025,0.001,-136.150213333301,-255.76021333333335,-30020.79740909091,-84.18045454545454,59957.41436363637,-0.0026010774877880706,-0.21812636418763384,-726.2341247222291,26,87044.0
TFI_VTEB_MUB,20,0.0025,0.0015,-127.79164361107581,-222.44164361111112,-25477.213272727273,-79.13259090909104,50875.29395454544,-0.002877222079074314,-0.22771268472431508,-590.6149783333418,27,91318.0
TFI_VTEB_MUB,20,0.0025,0.002,-327.78756222220125,-216.88756222222221,-24568.36359090909,-77.4184545454546,49059.30872727272,-0.007653302968008571,-0.6033998359168822,-667.7178005555655,27,91318.0
TFI_VTEB_MUB,20,0.0025,0.0025,-334.14167583330413,-194.64167583333335,-22292.784318181817,-72.50468181818181,44513.063954545454,-0.008598466773707082,-0.6428493032502927,-620.6473805555704,34,113094.0
TFI_VTEB_MUB,20,0.003,0.0,-664.384403055556,-347.43440305555555,-40476.16918181818,-72.50759090909051,80879.83077272725,-0.009409294346171021,-0.8962683662107035,-837.7036166666705,16,53844.0
TFI_VTEB_MUB,20,0.003,0.0005,-474.56439972222967,-302.96439972222225,-35018.827,-69.81486363636326,69967.83913636363,-0.007769168742131706,-0.6683592990412307,-837.7036166666705,16,53798.0
TFI_VTEB_MUB,20,0.003,0.001,-199.87179250001088,-219.62179249999997,-25926.269181818177,-72.42272727272695,51780.11563636364,-0.004421466626978805,-0.3495770746581798,-646.8363966666843,18,62034.0
TFI_VTEB_MUB,20,0.003,0.0015,-18.87645861110346,-172.42645861111112,-20020.382999999998,-64.9452727272725,39975.82072727273,-0.000540880085131605,-0.03814566118498273,-492.22855805555935,18,61920.0
TFI_VTEB_MUB,20,0.003,0.002,-160.941528055559,-166.87152805555556,-19111.394363636362,-63.09218181818155,38159.69654545455,-0.0048310448340187235,-0.3321065728959475,-492.22855805555923,18,61920.0
TFI_VTEB_MUB,20,0.003,0.0025,-238.3749213888699,-144.5949213888889,-16833.2765,-57.43168181818156,33609.12131818182,-0.008124212312552724,-0.5645286782982711,-492.22855805555923,20,68122.0
TFI_VTEB_MUB,20,0.003,0.003,-342.69763166662403,-114.02763166666666,-13649.353909090909,-48.72627272727246,27249.981545454546,-0.01440531470651659,-0.8911656114252005,-492.2285580555593,25,86864.0
TFI_VTEB_MUB,20,0.0035,0.0,-874.7581666666915,-319.53816666666665,-37738.27027272727,-44.93963636363597,75431.6009090909,-0.013283500629788272,-1.1546612500035884,-929.572097222235,13,45780.0
TFI_VTEB_MUB,20,0.0035,0.0005,-689.2576383333578,-275.0676383333333,-32280.842181818178,-42.31954545454521,64519.364818181806,-0.012236842334748496,-0.9340483570703669,-892.4787633333432,13,45734.0
TFI_VTEB_MUB,20,0.0035,0.001,-282.7202619444585,-150.03026194444445,-18639.676681818182,-51.759818181818,37227.59354545455,-0.008699010016346348,-0.5978103373829823,-574.754450833344,14,49934.0
TFI_VTEB_MUB,20,0.0035,0.0015,-101.72492805555109,-102.83492805555557,-12733.790500000001,-44.28236363636355,25423.298636363634,-0.004583247944883284,-0.2701823707299271,-420.146612222219,14,49820.0
TFI_VTEB_MUB,20,0.0035,0.002,-243.78999750000662,-97.27999750000001,-11824.801863636365,-42.429272727272604,23607.174454545453,-0.011829046348194646,-0.6719564376375984,-420.146612222219,14,49820.0
TFI_VTEB_MUB,20,0.0035,0.0025,-243.78999750000662,-97.27999750000001,-11824.801863636365,-42.429272727272604,23607.174454545453,-0.011829046348194646,-0.6719564376375984,-420.146612222219,14,49820.0
TFI_VTEB_MUB,20,0.0035,0.003,-267.9928311111056,-75.05283111111112,-9096.239727272728,-34.15522727272698,18158.32422727273,-0.01690539295935646,-0.8254182151947499,-513.5492836111092,15,54104.0
TFI_VTEB_MUB,20,0.0035,0.0035,-367.93821527778266,-52.82821527777778,-7277.8975,-28.208545454545277,14527.586454545455,-0.029010772192273,-1.266708687657872,-470.78525027779233,19,66522.0
TFI_VTEB_MUB,20,0.004,0.0,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.0005,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.001,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.0015,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.002,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.0025,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.003,-389.00713999997504,-41.707139999999995,-4548.670181818182,-17.63299999999991,9079.707363636364,-0.04907536981993528,-1.9053330595365077,-389.0071399999751,4,14700.0
TFI_VTEB_MUB,20,0.004,0.0035,-269.6581416666489,-25.038141666666668,-2730.430909090909,-11.389909090909086,5449.471909090909,-0.05668093151844815,-1.4284533417952128,-291.2545216666586,4,14692.0
TFI_VTEB_MUB,20,0.004,0.004,-70.52318833333217,-11.123188333333333,-1820.158090909091,-7.945454545454545,3632.3707272727274,-0.022239224105028158,-1.696841836098659,-92.11956833334185,6,23102.0
TFI_VTEB_MUB,20,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
TFI_VTEB_MUB,20,0.0045,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
TFI_VTEB_MUB,20,0.0045,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
