symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
XLC_VOX,20,long,0.0,0.0,-6003.84047666679,-1316.6804766666667,-52831.35893081761,-322.7972955974842,105339.92056603775,-0.022582893323682067,-0.6778491311988871,-8304.707686944603,108,178154.0
XLC_VOX,20,long,-0.0002,0.0,-6717.905995000117,-1277.795995,-51416.202232704396,-322.6714622641508,102509.73300314465,-0.025966430029215018,-0.7635064078285632,-8503.116271666779,96,157362.0
XLC_VOX,20,long,-0.0002,-0.0002,-6795.31682472236,-1269.466824722222,-50944.73976415094,-322.7381446540879,101566.7413836478,-0.026509504865570896,-0.7729071341346577,-8464.789390277909,98,161116.0
XLC_VOX,20,long,-0.0004,0.0,-7393.276016944577,-1263.9060169444444,-50629.97705974843,-322.4003773584905,100937.55374213838,-0.02902201552734844,-0.8462414385457867,-8952.039656388979,90,147732.0
XLC_VOX,20,long,-0.0004,-0.0002,-7470.68684666682,-1255.5768466666666,-50158.514591194966,-322.4670597484275,99994.56212264152,-0.02960244442009498,-0.8557812521629458,-8923.377775000108,92,151486.0
XLC_VOX,20,long,-0.0004,-0.0004,-7351.8154266668225,-1247.2454266666666,-50001.31798742138,-322.46438679245273,99680.17158805032,-0.02922329912293878,-0.8424109209608719,-8804.50635500011,94,155210.0
XLC_VOX,20,long,-0.0006,0.0,-7992.6465938890005,-1255.5665938888887,-50157.93424528302,-322.23400943396217,99993.63448113207,-0.03167099309316723,-0.9238903942095955,-9551.410233333405,88,144964.0
XLC_VOX,20,long,-0.0006,-0.0002,-8070.057423611243,-1247.2374236111111,-49686.47177672955,-322.3006918238993,99050.64286163522,-0.03228217233309289,-0.9335966065165632,-9522.74835194453,90,148718.0
XLC_VOX,20,long,-0.0006,-0.0004,-7951.186003611245,-1238.9060036111111,-49529.275172955975,-322.2980188679244,98736.25232704403,-0.031907935046226715,-0.9201160262371734,-9403.876931944535,92,152442.0
XLC_VOX,20,long,-0.0006,-0.0006,-8161.191615277904,-1227.8016152777777,-49214.930487421385,-322.11179245283006,98107.74918238993,-0.03296049214836114,-0.9459807511064813,-9683.4904836112,94,156302.0
XLC_VOX,20,long,-0.0008,0.0,-7243.732800555665,-1238.9028005555556,-49686.12235849057,-321.8256289308176,99050.41908805032,-0.02897674039030608,-0.8411075737126544,-8802.496440000068,88,144944.0
XLC_VOX,20,long,-0.0008,-0.0002,-7321.1436302779075,-1230.5736302777777,-49214.6598899371,-321.8923113207546,98107.42746855346,-0.029567898882534485,-0.8507906248534617,-8773.834558611194,90,148698.0
XLC_VOX,20,long,-0.0008,-0.0004,-7202.27221027791,-1222.2422102777778,-49057.46328616352,-321.8896383647798,97793.03693396227,-0.0291813260727251,-0.8372296130010008,-8654.963138611198,92,152422.0
XLC_VOX,20,long,-0.0008,-0.0006,-7412.277821944568,-1211.1378219444446,-48743.11860062893,-321.70341194968535,97164.53378930817,-0.030226463860165732,-0.8630732103225036,-8934.576690277865,94,156282.0
XLC_VOX,20,long,-0.0008,-0.0008,-7573.656341111237,-1197.2463411111112,-48271.396572327045,-321.372468553459,96221.42067610062,-0.031187262463069982,-0.8826391666178234,-8934.576690277865,96,160302.0
XLC_VOX,20,long,-0.001,0.0,-7012.407361388984,-1216.6773613888888,-49057.04158805031,-321.3063050314465,97792.77687106919,-0.028412129391187174,-0.816434323535825,-8752.646112500057,86,140952.0
XLC_VOX,20,long,-0.001,-0.0002,-7089.818191111227,-1208.348191111111,-48585.579119496855,-321.3729874213836,96849.78525157234,-0.029005466953154972,-0.826124215831545,-8723.984231111188,88,144706.0
XLC_VOX,20,long,-0.001,-0.0004,-7089.818191111227,-1208.348191111111,-48585.579119496855,-321.3729874213836,96849.78525157234,-0.029005466953154972,-0.826124215831545,-8723.984231111188,88,144706.0
XLC_VOX,20,long,-0.001,-0.0006,-7299.823802777886,-1197.2438027777778,-48271.234433962265,-321.18676100628915,96221.28210691824,-0.03005970148039683,-0.8520134000220785,-9003.597782777855,90,148566.0
XLC_VOX,20,long,-0.001,-0.0008,-7461.202321944555,-1183.3523219444444,-47799.51240566038,-320.85581761006273,95278.16899371069,-0.03102836126618681,-0.8716174574673293,-9003.597782777857,92,152586.0
XLC_VOX,20,long,-0.001,-0.001,-7340.522508611202,-1161.132508611111,-46856.07017295597,-319.96580188679235,93392.17454402514,-0.03114296173856892,-0.8687161701181996,-8872.8879694445,96,159810.0
XLC_VOX,20,long,-0.0012,0.0,-6564.588414166739,-1188.9084141666667,-48113.97882075472,-320.1197169811321,95907.8379245283,-0.02712044594271794,-0.7665916790649783,-8214.634181111152,82,133386.0
XLC_VOX,20,long,-0.0012,-0.0002,-6641.999243888982,-1180.5792438888889,-47642.51635220126,-320.1863993710692,94964.84630503145,-0.02771273425760297,-0.7762701464162115,-8185.97229972228,84,137140.0
XLC_VOX,20,long,-0.0012,-0.0004,-6641.999243888982,-1180.5792438888889,-47642.51635220126,-320.1863993710692,94964.84630503145,-0.02771273425760297,-0.7762701464162115,-8185.97229972228,84,137140.0
XLC_VOX,20,long,-0.0012,-0.0006,-6852.004855555642,-1169.4748555555555,-47328.17166666667,-320.00017295597473,94336.34316037736,-0.028779420837950577,-0.8021538265413807,-8465.585851388949,86,141000.0
XLC_VOX,20,long,-0.0012,-0.0008,-6913.8279063889695,-1147.2479063888889,-46699.1766509434,-319.49143081760997,93078.8618710692,-0.029431400329349957,-0.8102152906652631,-8465.585851388949,88,145004.0
XLC_VOX,20,long,-0.0012,-0.001,-6720.376593888956,-1133.356593888889,-45912.875943396226,-318.6724213836477,91507.07946540881,-0.02909928654085293,-0.797815593902025,-8262.104538888932,92,152228.0
XLC_VOX,20,long,-0.0012,-0.0012,-6565.81683027785,-1116.6868302777777,-45283.935518867926,-317.95514150943393,90249.9158962264,-0.028826066362415866,-0.7863670975403659,-8662.513399166754,98,162822.0
XLC_VOX,20,long,-0.0014,0.0,-5917.3578313889275,-1175.017831388889,-47327.71941823899,-319.1968081761007,94336.24202830187,-0.024853793515097214,-0.6931851745745149,-7550.663104722267,82,133316.0
XLC_VOX,20,long,-0.0014,-0.0002,-5811.65960416671,-1163.9096041666667,-46698.951839622634,-319.0695125786164,93078.83416666665,-0.024739599193779094,-0.6817221552696715,-7382.885316388947,84,137044.0
XLC_VOX,20,long,-0.0014,-0.0004,-5811.65960416671,-1163.9096041666667,-46698.951839622634,-319.0695125786164,93078.83416666665,-0.024739599193779094,-0.6817221552696715,-7382.885316388947,84,137044.0
XLC_VOX,20,long,-0.0014,-0.0006,-6021.66521583337,-1152.8052158333332,-46384.60715408805,-318.883286163522,92450.33102201259,-0.025807834271570556,-0.7075399713229638,-7662.498868055615,86,140904.0
XLC_VOX,20,long,-0.0014,-0.0008,-6083.488266666697,-1130.5782666666667,-45755.61213836478,-318.37454402515715,91192.8497327044,-0.026432321769031965,-0.7155351188692035,-7662.498868055614,88,144908.0
XLC_VOX,20,long,-0.0014,-0.001,-6021.3360125000245,-1119.4660125,-45126.616619496854,-317.756572327044,89935.47666666665,-0.02652804511343185,-0.7172676062161241,-7566.332872777841,90,148120.0
XLC_VOX,20,long,-0.0014,-0.0012,-5866.776248888918,-1102.7962488888888,-44497.67619496855,-317.0392924528302,88678.31309748426,-0.02621353113362076,-0.7050901291022176,-8008.969170555629,96,158714.0
XLC_VOX,20,long,-0.0014,-0.0014,-6054.422410277772,-1086.1324102777776,-43554.44004716981,-315.6143396226415,86793.26575471698,-0.027639495601775043,-0.7318868708255176,-8127.850664722237,100,165978.0
XLC_VOX,20,long,-0.0016,0.0,-5441.798143888923,-1172.238143888889,-47170.378616352195,-319.02433962264155,94021.73289308177,-0.0229328273780284,-0.6398944570720437,-7075.103417222266,82,133244.0
XLC_VOX,20,long,-0.0016,-0.0002,-5336.099916666705,-1161.1299166666668,-46541.61103773584,-318.89704402515724,92764.32503144654,-0.022792207455283233,-0.628320661582781,-6996.0142544444825,84,136972.0
XLC_VOX,20,long,-0.0016,-0.0004,-5336.099916666705,-1161.1299166666668,-46541.61103773584,-318.89704402515724,92764.32503144654,-0.022792207455283233,-0.628320661582781,-6996.0142544444825,84,136972.0
XLC_VOX,20,long,-0.0016,-0.0006,-5782.270091944474,-1138.9100919444445,-45912.67891509434,-318.3436477987421,91507.01418238993,-0.025037295447885844,-0.6825327292166105,-7275.627806111153,84,136844.0
XLC_VOX,20,long,-0.0016,-0.0008,-5642.189730277798,-1125.0197302777779,-45440.97800314465,-317.96773584905657,90563.98827044026,-0.024685138682654033,-0.6661962585328038,-7275.627806111152,86,140916.0
XLC_VOX,20,long,-0.0016,-0.001,-5580.037476111125,-1113.907476111111,-44811.98248427673,-317.34976415094343,89306.61520440251,-0.024756936988275708,-0.6673376384258861,-7275.627806111152,88,144128.0
XLC_VOX,20,long,-0.0016,-0.0012,-5425.477712500019,-1097.2377124999998,-44183.042059748426,-316.6324842767296,88049.45163522013,-0.024414888954722633,-0.654690301101269,-7533.40948305563,94,154722.0
XLC_VOX,20,long,-0.0016,-0.0014,-5613.1238738888715,-1080.5738738888888,-43239.80591194968,-315.20753144654094,86164.40429245282,-0.025811911174859092,-0.6813137706733923,-7664.3837400000275,98,161986.0
