symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
XLK_VGT,20,long,0.0,0.0,-5017.148334605542,-1244.4258346055553,-49212.829208333336,-217.89212500000014,98207.76629166666,-0.020242051862918446,-0.8874721893244291,-6562.689819036143,85,187562.0
XLK_VGT,20,long,-0.0002,0.0,-5013.680426433313,-1227.7644264333335,-48584.03176462264,-217.79918600628952,96950.26434323899,-0.020490430173157825,-0.9040335381008371,-6620.318961558371,81,179884.0
XLK_VGT,20,long,-0.0002,-0.0002,-5542.003297363857,-1199.9813973638888,-47640.50905,-217.57239905660398,95063.44570094338,-0.023099184789319067,-1.0040546198276719,-7130.299762350012,85,189328.0
XLK_VGT,20,long,-0.0004,0.0,-5006.970426433314,-1227.7644264333335,-48584.03176462264,-217.79918600628952,96950.26434323899,-0.020463007047875056,-0.9028213836693477,-6620.318961558371,80,178542.0
XLK_VGT,20,long,-0.0004,-0.0002,-5388.690662780524,-1197.2037627805557,-47483.2844509434,-217.50320880503165,94749.06569308175,-0.022534698023114846,-0.97704374899318,-7130.299762350011,84,187934.0
XLK_VGT,20,long,-0.0004,-0.0004,-5286.872776183311,-1163.8687761833335,-46382.533574685534,-217.34575235849073,92547.72139701259,-0.02263479441250286,-0.9663830464065223,-7319.814924980585,92,205648.0
XLK_VGT,20,long,-0.0006,0.0,-5124.912202366651,-1222.2078023666668,-48269.5058740566,-217.66255644654106,96321.34919166667,-0.02108178100346477,-0.9249229922625789,-6620.31896155837,78,173468.0
XLK_VGT,20,long,-0.0006,-0.0002,-5502.016758713871,-1183.311458713889,-47011.48157924529,-217.23488113207563,93805.72827735849,-0.02323999201464932,-0.9985126944680398,-7125.684082350021,80,178348.0
XLK_VGT,20,long,-0.0006,-0.0004,-5414.184078366665,-1147.1991783666667,-45753.52539638365,-216.93803789308186,91290.11275487421,-0.02349917952004649,-0.9906222461291884,-7329.184451230599,86,191742.0
XLK_VGT,20,long,-0.0006,-0.0006,-5656.294037997239,-1111.0908379972223,-44652.93346761006,-216.38485125786173,89089.48208396226,-0.02515642763848309,-1.038691740428659,-7551.975528047275,90,200146.0
XLK_VGT,20,long,-0.0008,0.0,-5083.393285233305,-1219.4288852333334,-48112.20867783019,-217.59228632075488,96006.82506933963,-0.020979494910574534,-0.9174696821323441,-6578.800044425022,78,173454.0
XLK_VGT,20,long,-0.0008,-0.0002,-5460.4978415805235,-1180.5325415805555,-46854.184383018866,-217.1646110062895,93491.20415503145,-0.023142214328655552,-0.9910192880133206,-7084.165165216673,80,178334.0
XLK_VGT,20,long,-0.0008,-0.0004,-5414.222740747203,-1141.6432407472225,-45439.03836132075,-216.70380943396236,90661.37291320755,-0.023662316134813274,-0.9908282449540917,-7287.665534097252,84,186898.0
XLK_VGT,20,long,-0.0008,-0.0006,-5656.332700377778,-1105.5349003777778,-44338.44643254717,-216.1506227987423,88460.7422422956,-0.025335401576361587,-1.0389089423031521,-7510.456610913926,88,195302.0
XLK_VGT,20,long,-0.0008,-0.0008,-5612.992624144428,-1088.8684241444444,-43709.50215676101,-215.61361902515748,87203.39069449686,-0.025503778324482834,-1.0341664037221687,-7467.1165346805765,92,203478.0
XLK_VGT,20,long,-0.001,0.0,-3604.5854690777983,-1202.7584690777776,-47168.60021619497,-216.71186713836488,94120.48856525158,-0.015174506635966768,-0.6659986832900208,-5249.982055825022,78,173364.0
XLK_VGT,20,long,-0.001,-0.0002,-3981.690025425017,-1163.8621254250002,-45910.57592138364,-216.28419182389948,91604.86765094339,-0.017222346423801608,-0.7399128028323632,-5755.347176616676,80,178244.0
XLK_VGT,20,long,-0.001,-0.0004,-3935.4149245916965,-1124.9728245916667,-44495.429899685536,-215.8233902515724,88775.0364091195,-0.017564795358614424,-0.7377284551860402,-5958.847545497256,84,186808.0
XLK_VGT,20,long,-0.001,-0.0006,-4258.552324222284,-1080.5319242222222,-43237.619857704405,-215.068552672956,86260.17116273586,-0.019561182155956515,-0.8016633037010462,-6262.666062313941,86,190858.0
