symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
XLP_VDC,20,long,0.0,0.0,-642.9101822222892,-1322.2451822222224,-52673.08720125786,-166.57121069182406,105179.60319182389,-0.0024219334262461666,-0.11695944763789543,-4052.1870047222865,109,188237.0
XLP_VDC,20,long,-0.0002,0.0,187.91811666660487,-1305.5768833333334,-52043.962295597485,-166.4348270440253,103921.48976415093,0.0007164843562873366,0.03475484975890731,-4052.1870047222865,107,184729.0
XLP_VDC,20,long,-0.0002,-0.0002,-96.71563333341487,-1238.9106333333334,-49842.87034591196,-165.9588993710693,99519.78179245284,-0.00038506202474595575,-0.018028660439160963,-3966.693355833412,119,205343.0
XLP_VDC,20,long,-0.0004,0.0,954.1870380555131,-1288.9179619444444,-51101.00448113207,-166.07444968553477,102035.93451257862,0.003705303540603282,0.17738305551334566,-3801.8926527778126,105,181399.0
XLP_VDC,20,long,-0.0004,-0.0002,585.0113713888379,-1219.4736286111113,-48742.66253144655,-165.578459119497,97319.74660377359,0.002381808076613247,0.10966031239447312,-3707.1340038889393,115,198709.0
XLP_VDC,20,long,-0.0004,-0.0004,790.8372958332905,-1197.2477041666666,-47799.29322327044,-165.2085062893083,95433.37794025158,0.00328344897156535,0.14860846325149027,-3619.8282805556137,123,212115.0
XLP_VDC,20,long,-0.0006,0.0,621.8964061110853,-1244.4685938888888,-49528.51289308175,-165.37996855345938,98891.64581761006,0.0024917350855694757,0.11628189860303897,-3835.7739177778126,95,164817.0
XLP_VDC,20,long,-0.0006,-0.0002,523.712840277723,-1175.0221597222223,-47170.052028301885,-164.89849056603794,94175.20556603774,0.0022034341204236274,0.09866806686611244,-3645.356538888951,105,182149.0
XLP_VDC,20,long,-0.0006,-0.0004,729.5387647221755,-1152.7962352777777,-46226.68272012579,-164.52853773584926,92288.83690251574,0.003132150530009993,0.1377885565718712,-3558.0508155556254,113,195555.0
XLP_VDC,20,long,-0.0006,-0.0006,202.4003802777711,-1100.0196197222222,-44497.159858490566,-163.3572641509436,88830.9624528302,0.0009027975705405319,0.03850075816852437,-3512.6470875000564,118,203804.0
XLP_VDC,20,long,-0.0008,0.0,675.6355047221518,-1194.4794952777777,-47799.37067610063,-164.44429245283038,95434.29705974842,0.0028051197755342766,0.12688658133737507,-3726.877205555608,91,157909.0
XLP_VDC,20,long,-0.0008,-0.0002,394.88627222212085,-1130.5887277777776,-45283.611226415094,-163.7061635220127,90403.51628930817,0.0017307332550187888,0.07477507248898924,-3652.9926822223015,97,168319.0
