symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
XLU_VPU,20,long,0.0,0.0,2796.1307902776202,-1180.5742097222221,-48270.95278301887,-79.46774371069148,96462.43782232705,0.011485308729261363,0.5585063352139843,-1408.3431791666649,131,414247.0
XLU_VPU,20,long,-0.0002,0.0,3255.8671480553944,-1091.6778519444445,-44654.742531446536,-79.1004088050312,89230.38465408805,0.014457637643258964,0.6561740218508078,-1311.3963991666656,103,327445.0
XLU_VPU,20,long,-0.0002,-0.0002,3188.841874999849,-1044.458125,-42925.23185534591,-78.95262578616328,85771.51108490567,0.01473103794549164,0.6436440375879178,-1292.9341311111348,113,356399.0
XLU_VPU,20,long,-0.0004,0.0,4899.651679444256,-1019.4433205555556,-42610.284622641506,-78.5214072327041,85142.0478380503,0.022801558917749588,1.059242414689092,-1292.8506030555568,91,287753.0
XLU_VPU,20,long,-0.0004,-0.0002,4964.598984166478,-966.6660158333333,-40566.194072327045,-78.281509433962,81054.10663522013,0.024269038788252154,1.0760540333931723,-1250.377864999998,101,316663.0
XLU_VPU,20,long,-0.0004,-0.0004,4344.736161388704,-908.3338386111111,-38207.8195754717,-77.44676100628912,76338.1923899371,0.02255095621028507,0.9475318434514473,-1297.3000788889028,107,334923.0
XLU_VPU,20,long,-0.0006,0.0,5321.307592222052,-966.6674077777777,-40251.740440251575,-77.51403301886765,80425.96684748429,0.026215943849065306,1.1558640977611698,-1229.803245555564,85,270043.0
XLU_VPU,20,long,-0.0006,-0.0002,5230.814754166517,-911.1002458333334,-38050.17731132075,-77.01352201257838,76023.34110062892,0.027262508435699787,1.1389431310783424,-1246.2831575000087,87,275523.0
XLU_VPU,20,long,-0.0006,-0.0004,4779.151905555423,-844.4330944444445,-35691.72517295598,-76.15746855345897,71307.29287735849,0.026555856355202793,1.0485809357384865,-1297.3000788889028,93,293803.0
XLU_VPU,20,long,-0.0006,-0.0006,5058.122024999889,-794.422975,-33804.60633647799,-75.10752358490554,67534.10514937107,0.02967628804205888,1.1190065596831849,-1246.2831575000087,105,331285.0
XLU_VPU,20,long,-0.0008,0.0,5488.808214444319,-924.9967855555556,-38522.08194968553,-76.44553459119471,76967.71836477988,0.02825614229127026,1.1956513774999762,-1195.6760405555715,79,250473.0
XLU_VPU,20,long,-0.0008,-0.0002,5440.803353055429,-872.2066469444445,-36477.70882075472,-75.9610377358488,72879.45660377358,0.029580215170029033,1.1879818907956534,-1195.6760405555715,81,255953.0
XLU_VPU,20,long,-0.0008,-0.0004,4989.140504444335,-805.5394955555556,-34119.25668238994,-75.10498427672941,68163.40838050316,0.029001326421983598,1.0977457701498028,-1297.3000788889028,87,274233.0
XLU_VPU,20,long,-0.0008,-0.0006,5268.110623888801,-755.5293761111111,-32232.13784591195,-74.05503930817596,64390.22065251572,0.032417416273325214,1.1688225965044472,-1218.6716391666832,99,311715.0
XLU_VPU,20,long,-0.0008,-0.0008,5273.374163055506,-716.6408369444445,-30659.736509433966,-73.01439465408795,61246.45862421384,0.034115444174473965,1.2814604757717813,-1239.7652725000164,111,345229.0
XLU_VPU,20,long,-0.001,0.0,5511.816808611042,-877.7681913888889,-36163.28982704402,-74.80223270440236,72251.77742138364,0.03022662545719355,1.2052365952849988,-1126.5564841666833,69,218355.0
XLU_VPU,20,long,-0.001,-0.0002,5403.377301944391,-836.0926980555555,-34748.04756289308,-74.40926100628916,69421.68586477988,0.03083994275105522,1.183217896588995,-1126.5564841666833,69,218309.0
XLU_VPU,20,long,-0.001,-0.0004,4896.972139444424,-763.8728605555557,-32075.292437106917,-73.24545597484273,64077.33941823899,0.03028074719152014,1.0808676936301165,-1297.3000788889028,71,223407.0
XLU_VPU,20,long,-0.001,-0.0006,5106.98003222224,-702.7449677777777,-30030.84661949686,-72.05268081761007,59989.64055817609,0.03373116376924189,1.1371520439554277,-1218.6716391666832,81,254641.0
XLU_VPU,20,long,-0.001,-0.0008,5205.911555833373,-669.4134441666667,-28458.468805031447,-70.94302672955979,56845.99458333335,0.03628610402870533,1.2708768475945011,-1239.7652725000164,93,288177.0
XLU_VPU,20,long,-0.001,-0.001,5257.334002222278,-663.8559977777778,-28143.896367924528,-70.66718553459124,56217.12555031447,0.037054448875898774,1.2845149194036052,-1239.7652725000164,97,300613.0
XLU_VPU,20,long,-0.0012,0.0,4653.452029166596,-805.5529708333333,-33332.99273584906,-72.58243710691816,66593.40303459119,0.027687736792372793,1.0715876436732084,-1080.0796413888982,59,187835.0
XLU_VPU,20,long,-0.0012,-0.0002,4632.651230555515,-777.7687694444445,-32389.506713836483,-72.3053773584905,64706.70805031447,0.028367673843615847,1.0679074993040916,-1080.0796413888982,59,187811.0
XLU_VPU,20,long,-0.0012,-0.0004,4126.246068055549,-705.5489319444445,-29716.751588050312,-71.14157232704406,59362.36160377359,0.027541486611591174,0.9596593042825332,-1218.671639166683,61,192909.0
XLU_VPU,20,long,-0.0012,-0.0006,4368.293591111129,-652.7564088888889,-28144.1191509434,-70.21411949685543,56218.02418238993,0.030787871592038597,1.0247840039366782,-1218.671639166683,69,216187.0
XLU_VPU,20,long,-0.0012,-0.0008,5135.386438888891,-616.6535611111111,-26571.993616352203,-69.01831761006298,53074.968915094345,0.03833776637834919,1.2595906750353267,-1239.7652725000164,75,232829.0
XLU_VPU,20,long,-0.0012,-0.001,5186.134378333332,-608.3206216666667,-26100.31779874214,-68.56928459119504,52132.06631289308,0.039416880593054926,1.2731683939142537,-1239.7652725000164,77,239155.0
XLU_VPU,20,long,-0.0012,-0.0012,6110.414736388898,-549.9952636111111,-24056.547342767295,-66.34661949685538,48046.748066037726,0.05039066790558463,1.5754151319451846,-989.3637724999953,97,301737.0
XLU_VPU,20,long,-0.0014,0.0,4947.364798611068,-769.4402013888889,-31917.875817610067,-71.00347484276726,63764.748160377356,0.030742325107082993,1.147662535830254,-1080.0796413888982,57,180877.0
XLU_VPU,20,long,-0.0014,-0.0002,4926.563999999989,-741.6560000000001,-30974.38979559749,-70.7264150943396,61878.05317610063,0.03154648041200441,1.144042320548435,-1080.0796413888982,57,180853.0
XLU_VPU,20,long,-0.0014,-0.0004,4420.158837500023,-669.4361624999999,-28301.63466981132,-69.56261006289316,56533.706729559744,0.030979459717868685,1.0357080168810284,-1142.586676666682,59,185951.0
XLU_VPU,20,long,-0.0014,-0.0006,3797.455992222266,-624.9840077777778,-26886.343616352206,-68.59757075471711,53704.089661949685,0.028017463544174368,0.9424724359265899,-1142.586676666682,63,197939.0
XLU_VPU,20,long,-0.0014,-0.0008,4564.548840000029,-588.88116,-25314.218081761006,-67.40176886792466,50561.03439465409,0.03577052655369455,1.190919197458281,-1163.6803100000152,69,214581.0
XLU_VPU,20,long,-0.0014,-0.001,4615.296779444471,-580.5482205555555,-24842.542264150943,-66.95273584905672,49618.131792452834,0.03685552904661938,1.2053612305448993,-1163.6803100000152,71,220907.0
XLU_VPU,20,long,-0.0014,-0.0012,5534.8285055556025,-522.2214944444445,-22798.694371069185,-64.70000786163531,45532.68873427673,0.04816419407420908,1.5273688230225875,-989.3637724999953,87,269839.0
XLU_VPU,20,long,-0.0014,-0.0014,5275.785234444569,-491.65976555555557,-21697.81965408805,-63.372059748427866,43332.26724842767,0.04824131306739951,1.4641404974174785,-989.3637724999953,89,275149.0
XLU_VPU,20,long,-0.0016,0.0,5225.152846111103,-758.3271538888889,-31288.835393081765,-70.08374213836481,62507.58704402515,0.0331214765829372,1.2140698015869065,-1080.0796413888982,57,180759.0
