symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
XLV_VHT,20,long,0.0,0.0,1856.0944874999793,-1277.7205125,-51413.45229559748,-135.47133647798725,102691.43325471698,0.007161587306258591,0.4012199724955055,-2636.331319722149,139,148173.0
XLV_VHT,20,long,-0.0002,0.0,1294.5320025000087,-1238.8429975,-49998.45992138364,-135.31249999999983,99861.60734276728,0.0051363861270016424,0.2815317761766593,-2796.4618222221325,125,133443.0
XLV_VHT,20,long,-0.0002,-0.0002,1598.0638425000188,-1208.3011575,-48898.12897798742,-135.11102201257836,97661.14693396227,0.0064835927826429225,0.3484127201358216,-2614.5815830554666,137,146289.0
XLV_VHT,20,long,-0.0004,0.0,1099.6192313888946,-1188.845768611111,-47639.7902672956,-134.58036163521993,95145.00017295597,0.004579307217720283,0.2435713092153218,-2408.320963611045,109,116509.0
XLV_VHT,20,long,-0.0004,-0.0002,1380.0657588889142,-1161.079241111111,-46696.55248427672,-134.30572327043998,93258.79924528302,0.005863452163916442,0.30645383480833327,-2314.190158055546,119,127109.0
XLV_VHT,20,long,-0.0004,-0.0004,1144.3066027778075,-1149.9583972222222,-46224.48713836478,-134.19061320754687,92314.783663522,0.0049115047990584745,0.25457041179682444,-2314.190158055547,119,127063.0
XLV_VHT,20,long,-0.0006,0.0,602.4134413889544,-1152.731558611111,-46067.040235849054,-133.82264150943385,92000.25783018868,0.0025944722755751426,0.135097179235154,-2579.903589999922,101,108229.0
XLV_VHT,20,long,-0.0006,-0.0002,733.0808813889662,-1122.184118611111,-44966.39231132075,-133.4166352201256,89799.36798742138,0.003234610845453119,0.1650664644719888,-2426.6936633332466,109,116691.0
XLV_VHT,20,long,-0.0006,-0.0004,658.0296797222845,-1116.6253202777777,-44651.7433490566,-133.2861635220124,89170.20053459119,0.0029239447647187305,0.14822267976631667,-2440.784962777695,109,116645.0
XLV_VHT,20,long,-0.0006,-0.0006,1236.3045016667043,-1086.0804983333333,-43551.48182389937,-132.52507861635203,86970.43856918238,0.005632448320594889,0.283964096766171,-2144.584311111044,115,122615.0
XLV_VHT,20,long,-0.0008,0.0,1001.9030686111203,-1116.636931388889,-44652.40058176101,-132.67624213836461,89172.12492138366,0.004451844805737108,0.2277049897790165,-2664.455940833255,96,103010.0
XLV_VHT,20,long,-0.0008,-0.0002,938.9299811111048,-1091.6300188888888,-43551.439496855346,-132.010078616352,86970.86891509434,0.004277626118734582,0.21408651857291572,-2674.4345391665747,98,105034.0
XLV_VHT,20,long,-0.0008,-0.0004,863.8787794444229,-1086.0712205555556,-43236.79053459119,-131.87960691823875,86341.70146226414,0.00396438321295923,0.19704883785759156,-2688.5258386110236,98,104988.0
XLV_VHT,20,long,-0.0008,-0.0006,1442.1536013888426,-1055.526398611111,-42136.529009433965,-131.11852201257838,84141.93949685534,0.0067911359651395735,0.3356079221340197,-2392.325186944371,104,110958.0
XLV_VHT,20,long,-0.0008,-0.0008,1648.4190180554915,-1041.6409819444443,-41822.24834905661,-130.84163522012557,83513.65506289309,0.00782084268261977,0.38644900586485836,-2087.0606036110626,104,110958.0
XLV_VHT,20,long,-0.001,0.0,1245.2605236110849,-1055.529476388889,-42451.283128930816,-130.6073584905659,84771.95889937106,0.005820381167723388,0.2862794394246201,-2933.689543611057,88,94594.0
XLV_VHT,20,long,-0.001,-0.0002,1182.2874361110696,-1030.5225638888887,-41350.32204402516,-129.94119496855328,82570.70289308178,0.005673362294468452,0.27270537604881134,-2943.6681419443757,90,96618.0
XLV_VHT,20,long,-0.001,-0.0004,1107.2362344443875,-1024.9637655555557,-41035.67308176101,-129.81072327044004,81941.53544025157,0.005354015414518922,0.25549243782060393,-2957.7594413888246,90,96572.0
XLV_VHT,20,long,-0.001,-0.0006,1468.5057291665998,-997.1942708333333,-40092.50555031447,-129.18011006289288,80055.83099056603,0.007268187131575074,0.3446056590184967,-2661.558789722173,94,100442.0
XLV_VHT,20,long,-0.001,-0.0008,1674.7711458332483,-983.3088541666667,-39778.22488993711,-128.90322327044004,79427.54655660377,0.00835464012153571,0.3959688332800526,-2356.294206388864,94,100442.0
XLV_VHT,20,long,-0.001,-0.001,1940.240236666593,-930.5097633333335,-38048.13625786164,-127.476682389937,75968.79583333334,0.010119607991191522,0.4679681985683797,-2316.9446591666433,106,113036.0
XLV_VHT,20,long,-0.0012,0.0,1954.585994166605,-1013.8640058333333,-40879.540927672955,-129.13660377358482,81629.94525157231,0.009487432572390738,0.45962405679852925,-2456.6955211111067,80,86450.0
XLV_VHT,20,long,-0.0012,-0.0002,1891.6129066665897,-988.8570933333334,-39778.5798427673,-128.47044025157217,79428.68924528302,0.009436225221344652,0.44635817985584597,-2466.674119444427,82,88474.0
XLV_VHT,20,long,-0.0012,-0.0004,1816.5617049999078,-983.298295,-39463.93088050314,-128.33996855345896,78799.52179245283,0.009134189088933178,0.4288161986208115,-2480.765418888875,82,88428.0
XLV_VHT,20,long,-0.0012,-0.0006,2177.831199722119,-955.5288002777778,-38520.7633490566,-127.7093553459118,76913.81734276729,0.011219235746691819,0.5232704318542153,-2184.564767222222,86,92298.0
XLV_VHT,20,long,-0.0012,-0.0008,2384.096616388768,-941.6433836111112,-38206.48268867924,-127.43246855345896,76285.53290880502,0.012382977735497135,0.5773753751398897,-1895.3119652777948,86,92298.0
XLV_VHT,20,long,-0.0012,-0.001,2649.5657072221125,-888.8442927777778,-36476.39405660378,-126.0059276729559,72826.78218553458,0.0144154099662808,0.6552682791075396,-1839.9506366666944,98,104892.0
XLV_VHT,20,long,-0.0012,-0.0012,2345.4908847221404,-849.9691152777777,-35218.54300314466,-124.4653616352201,70312.62064465409,0.013217334759667548,0.5905106118508668,-2103.4502291667095,102,109158.0
XLV_VHT,20,long,-0.0014,0.0,1728.98334583328,-1011.0866541666667,-40722.332342767295,-128.9736006289307,81315.69108490566,0.008424805394103134,0.408053884518547,-2682.298169444431,78,84510.0
XLV_VHT,20,long,-0.0014,-0.0002,1794.2284983332722,-977.7415016666666,-39464.04597484277,-128.216540880503,78799.87540880503,0.00902185088575984,0.4254497321722133,-2692.276767777751,80,86528.0
XLV_VHT,20,long,-0.0014,-0.0004,1719.1772966665903,-972.1827033333334,-39149.397012578615,-128.0860691823898,78170.70795597484,0.008714049993680736,0.4078151410290302,-2706.3680672222,80,86482.0
XLV_VHT,20,long,-0.0014,-0.0006,2080.446791388801,-944.413208611111,-38206.229481132075,-127.45545597484262,76285.0035062893,0.010805898093437783,0.5024044530679588,-2410.167415555548,84,90352.0
XLV_VHT,20,long,-0.0014,-0.0008,2286.71220805545,-930.5277919444444,-37891.94882075472,-127.1785691823898,75656.71907232705,0.011975879890906881,0.5566393439056488,-2104.9028322222393,84,90352.0
XLV_VHT,20,long,-0.0014,-0.001,2291.0911933332723,-863.8488066666666,-35690.33522012579,-124.93073899371066,71255.73970125787,0.012739897922533668,0.5713111946762427,-2065.553285000018,92,98858.0
XLV_VHT,20,long,-0.0014,-0.0012,2132.531940833271,-833.2980591666667,-34589.5488836478,-123.66427672955975,69055.43349056604,0.012236046365648779,0.5407058595814054,-2329.0528775000334,96,103124.0
XLV_VHT,20,long,-0.0014,-0.0014,2529.6552747221594,-813.8447252777778,-33803.131116352204,-122.56155660377362,67483.70067610062,0.01485271600231934,0.6595787982341903,-1758.6523633333622,100,107352.0
XLV_VHT,20,long,-0.0016,0.0,1153.5089594444194,-977.7610405555556,-39307.66317610063,-127.13713836477974,78488.18921383648,0.005823178294184573,0.274314353386987,-2975.045984999977,68,73806.0
XLV_VHT,20,long,-0.0016,-0.0002,1218.7541119444113,-944.4158880555556,-38049.3768081761,-126.38007861635204,75972.37353773585,0.006356291769893953,0.29121598289238526,-2985.0245833332956,70,75824.0
XLV_VHT,20,long,-0.0016,-0.0004,1157.794209722178,-941.6357902777778,-37892.01278301886,-126.33265723270424,75657.69290880502,0.006063476581134469,0.2767413971306598,-2985.0245833332956,70,75824.0
